,83332.Rv0719,83332.Rv0682,83332.Rv0706,83332.Rv0707,83332.Rv0721,83332.Rv0702,83332.Rv0701,83332.Rv3459c,83332.Rv0716,83332.Rv0718,83332.Rv0705,83332.Rv0720,83332.Rv0708,83332.Rv0715,83332.Rv0683,83332.Rv0714,83332.Rv0053,83332.Rv3443c,83332.Rv1643,83332.Rv3458c,83332.Rv3442c,83332.Rv3460c,83332.Rv2441c,83332.Rv0703,83332.Rv0709,83332.Rv3461c,83332.Rv2904c,83332.Rv1015c,83332.Rv0722,83332.Rv0056,83332.Rv0500B,83332.Rv2909c,83332.Rv0640,83332.Rv0055,83332.Rv0717,83332.Rv2785c,83332.Rv3924c,83332.Rv0651,83332.Rv0652,83332.Rv0685,83332.Rv3457c,83332.Rv0684,83332.Rv3147,83332.Rv3154,83332.Rv3145,83332.Rv3146,83332.Rv3151,83332.Rv0704,83332.Rv0700,83332.Rv0723,83332.Rv3155,83332.Rv1630,83332.Rv3152,83332.Rv3149,83332.Rv3157,83332.Rv3150,83332.Rv3158,83332.Rv0732,83332.Rv3148,83332.Rv3156,83332.Rv2890c,83332.Rv0667,83332.Rv2442c,83332.Rv1307,83332.Rv3456c,83332.Rv2524c,83332.Rv0641,83332.Rv0120c,83332.Rv0634B,83332.Rv1642,83332.Rv2412,83332.Rv2933,83332.Rv2058c,83332.Rv2243,83332.Rv0710,83332.Rv2383c,83332.Rv2534c,83332.Rv1248c,83332.Rv0668,83332.Rv2454c,83332.Rv1629,83332.Rv0860,83332.Rv3462c,83332.Rv3153,83332.Rv1737c,83332.Rv0167,83332.Rv3317,83332.Rv1286,83332.Rv3316,83332.Rv3002c,83332.Rv1663,83332.Rv2992c,83332.Rv2380c,83332.Rv0808,83332.Rv0242c,83332.Rv2032,83332.Rv0889c,83332.Rv2455c,83332.Rv3546,83332.Rv1181
83332.Rv0719,,0.8311135265884398,0.8127174467962265,0.8126545269411086,0.8173399216190338,0.8212850975383759,0.8187258047825813,0.8219167613376618,0.8203720377562522,0.792682992008686,0.8280934005215644,0.7908907070917129,0.8169654000059128,0.8357543086798667,0.8003618012299537,0.8090762602983474,0.780118500707817,0.8202979402420997,0.8111753145267486,0.8450469804862974,0.8019541769367218,0.8171024173751831,0.8173702329650879,0.8049610522950172,0.8387128035440443,0.843492732082653,0.8451174641708372,0.851231015414524,0.794024416663742,0.7926298350963592,0.8451038632849692,0.8127121381085395,0.7677175702146529,0.7814770140145301,0.8126974726837157,0.8110512257029533,0.8303526193556784,0.730934823395729,0.7448647895277977,0.8478352471672057,0.8818833464515685,0.8496866840316771,0.6074234425535202,0.6137471001700401,0.6230340430760384,0.5936408450313568,0.6429964874060631,0.7012973977032662,0.7599123124923705,0.8172046551362038,0.652419558748722,0.8881855452038764,0.6353536343887328,0.5874929764134407,0.6891657115233422,0.6567813960983276,0.631601273605442,0.8281039618685722,0.706329089704895,0.6354133886411666,0.7400948340383529,0.826545245202732,0.7926475400600432,0.5637651802404403,0.7902912876171112,0.6989145393076897,0.8138678987654685,0.7324051023919105,0.7152949350802421,0.8108470593723296,0.7660458443344116,0.6914647385115623,0.6994045255178452,0.4824622571564674,0.7632838129359245,0.619676037947464,0.7400441843954085,0.7726020056631088,0.8019577067237854,0.6686469550605774,0.7546376319528578,0.7926982597384452,0.7801901124809264,0.6203701604032517,0.5434747131526947,0.5968197835019111,0.5410722689749717,0.730574785115242,0.616641148406124,0.7833957269395828,0.5986329581693649,0.8155296515965462,0.6951597197621345,0.6269044252682685,0.674056826597023,0.5316328049201965,0.49480038868131626,0.7302634850274086,0.6389040289901733,0.6085741637637139
83332.Rv0682,0.8202955450294493,,0.8327420545984268,0.8385988278403281,0.800358159386158,0.8226230204205512,0.8137964345845222,0.8219089033593178,0.835712259391117,0.8081103797740936,0.8511535982196806,0.8047949842179298,0.8294083377665519,0.8511858005230902,0.8218573992837906,0.8120565221827507,0.7971525093920707,0.8154569968128205,0.821944341300869,0.8249422801347732,0.8050376710856437,0.8524513067420959,0.8204526625750541,0.8417845457431793,0.892752369852066,0.8387873212709426,0.8404881258731841,0.8835576076153754,0.8202322189686775,0.7741143448489188,0.8528276352700233,0.8327403597403525,0.7476681838675499,0.7936335067535399,0.829635981017971,0.8588512049577712,0.8419981754172324,0.6861859118729591,0.7356236358039855,0.9029639844190598,0.874216289180088,0.9020396069069861,0.6025335303322793,0.49636767588977804,0.5580308354642868,0.5590796799916268,0.6023171627895356,0.7236873000436782,0.7739099889048576,0.8276994090512275,0.5859985468472481,0.8926731877636909,0.5179624721657753,0.5651824737890243,0.5324463702604294,0.5927234785862923,0.5065811188999175,0.7063091996349335,0.6769000895342826,0.4950072436115265,0.7444935875953674,0.8172132554903984,0.7880428122221946,0.5050210941241264,0.8098677665402412,0.6118778698843003,0.8119843996685028,0.6852586971337318,0.7316045735122679,0.8143853463962554,0.7906900414985657,0.5799693948158264,0.694739162016201,0.4288856672153949,0.7941146223331451,0.5105749339268684,0.7630024524885177,0.7678700514129638,0.8173598256960869,0.613230758826065,0.7417754694642067,0.7479741407676695,0.7953604496239661,0.621556564161396,0.3550007322633266,0.5212127907747268,0.49532134615306844,0.6992994466614724,0.5531427301578522,0.7894587826183319,0.47615330698604574,0.6176255603124619,0.5998490377774238,0.5553874671833039,0.5739032552327157,0.45350509262304295,0.35620616103138913,0.62301061128273,0.5765186399042129,0.5419250225042342
83332.Rv0706,0.8142636831435203,0.8235059014062881,,0.7834020581449509,0.7788246301284789,0.7844692939834594,0.7771681159496308,0.8127153317254066,0.8003693790664672,0.7649576819011688,0.8111680728604317,0.7971700742848397,0.8247639138313293,0.8203919418333053,0.8096346249876976,0.8061593244747162,0.7478503320857047,0.806474806197071,0.8250680638166428,0.8065354989246368,0.792711692539215,0.8295421475118636,0.7988774061917304,0.7849152797775268,0.8758066898869513,0.8327364517618179,0.8112100381066322,0.8666751556613922,0.8141551561984062,0.7633865689593315,0.8451200414756773,0.8096593895255089,0.7446666732253074,0.7693147783679962,0.8188913826114654,0.8296232205575942,0.8352049505503654,0.7540961102733611,0.7618491010513304,0.7770326533675194,0.7124719577911377,0.7449011519373894,0.5551931097432137,0.5382310554881096,0.5243959033585547,0.5860092957368851,0.613747660453701,0.6936727819190979,0.7634949353405952,0.7971912950284957,0.5964521749061584,0.8034139335009575,0.545995125875473,0.5382012624044419,0.5581449932601928,0.5735742019474983,0.5531091131381989,0.7834389388169288,0.5999811290655136,0.5445004356249808,0.7016451657715798,0.7094285519381522,0.7618522666540145,0.5679754823881149,0.7919280938181876,0.6527300614677428,0.7831210898961067,0.6653985089868545,0.7264136208800315,0.795138508294201,0.7722436202194213,0.6466993686562537,0.6796601090886116,0.5351935522862434,0.78184858013134,0.6042535526640891,0.7031430076176644,0.7124980670097352,0.7480048303051947,0.610383437211895,0.705272983018303,0.6709232334967613,0.7434031775416374,0.5891364090042114,0.42545817942075725,0.5459994540667534,0.4825572742909431,0.6613766271281242,0.5303910526576042,0.7710972162996291,0.5629469891803741,0.7924954510602951,0.6223359511629104,0.5820686568063737,0.6027058336359024,0.5359594229912757,0.4470508380621909,0.6235782336241722,0.5963276183979035,0.6001117773497582
83332.Rv0707,0.7926072136435508,0.8185797948605537,0.7972622689612389,,0.7895483159473419,0.7557047557346344,0.7491417514240264,0.8125946046035766,0.7832742434348107,0.766449318605709,0.8126848102729797,0.792005244878292,0.7966053783901215,0.8200521297929764,0.7695183994574547,0.8086277952490807,0.7305726560373306,0.7847568315582275,0.7972565820820808,0.8265553163015366,0.8034962531778336,0.8183862868911743,0.8142580522927283,0.7740475730436325,0.8693430594048499,0.8403626223331451,0.8235196283559799,0.8527042888220787,0.7994569711318016,0.716862769327259,0.8342874505202292,0.8295825719779967,0.694684829817009,0.7480071910178183,0.8049146047795296,0.8387858085050581,0.8314636413622856,0.6445423595689773,0.6985812815507888,0.7551976354719161,0.8582187287471771,0.7695040982170105,0.5857369978776932,0.49353591718969336,0.5366723668364524,0.5073339785408975,0.5336272661253929,0.6904522704009055,0.7219227987104415,0.810622356574726,0.6277799214105606,0.7926050845656395,0.5551766794248582,0.5011254732237815,0.5781298209224701,0.5441225102886199,0.5401236947299957,0.7726270503427505,0.5768012127561568,0.5629072028280258,0.6336897244655609,0.7710330217991829,0.7370733492835998,0.4793981288761139,0.7461239440485,0.5975347485098839,0.739348480173683,0.6254513285583495,0.6973372147384643,0.7921200135357856,0.7626113744932175,0.6036855230815886,0.646035109046173,0.42312930797982207,0.7461275503568648,0.5411736943246841,0.6547504583559989,0.7155659712657928,0.7911689999860764,0.5647601394866943,0.6517043351272582,0.6924892732138633,0.7339408873781204,0.5767420478369712,0.4251165013310433,0.45790049875860206,0.4995489395375251,0.6204921966704369,0.5964360032012939,0.7571298792473793,0.4470745523415566,0.4903422292517662,0.6014027098195076,0.4942924293019294,0.552123639799118,0.41044957933073034,0.4168355542240142,0.6143962318478584,0.5532496483582496,0.5519043792742729
83332.Rv0721,0.7695523246331215,0.8173291781798363,0.7911563095611572,0.7417675544220923,,0.7458376876049041,0.7739935336845397,0.7957651834980964,0.7757194670089722,0.7264190826103211,0.8111376354505538,0.7602184719776153,0.7785943955651283,0.8095934721528053,0.7695627319021225,0.7907495996517181,0.7232601042451858,0.784878511162281,0.7988647577880859,0.7911336741012573,0.7880886434256553,0.8218508999933243,0.8158351042413712,0.7741397817271232,0.8357998037131309,0.8234492707352639,0.8281686326101302,0.8713005999876022,0.7957220836774827,0.768012055306816,0.8482094326101303,0.8250566200228691,0.7260541138336182,0.7693233367009162,0.7772476202011108,0.8358102249892234,0.8476218911491393,0.6985773595651626,0.7495244811927794,0.801708086345768,0.8403900482183456,0.7634025510507584,0.5212834845656394,0.5460199044203758,0.5351799317276955,0.5135357604540824,0.5691150358047485,0.6676014507068633,0.7095946275364875,0.8126158813755988,0.5848770745149613,0.8497159028245925,0.5151803405909537,0.44570639697885506,0.5782896978651046,0.5366823819068908,0.5533976312093735,0.7849851191358566,0.6107778478595735,0.5660730586750984,0.6214983400615692,0.7818926044199943,0.7448852678956032,0.4788830450641631,0.7487690507328032,0.6407584408084869,0.7646876531908035,0.6627925630242347,0.6913458183045387,0.7835866381465911,0.7538647551426887,0.5949498432695388,0.6519309083892821,0.4747016898508072,0.7942115514064788,0.5797693024780274,0.6769520698509216,0.7063642755187989,0.7541734994540213,0.5298493844213485,0.6474888083344459,0.7171700428939819,0.7325061959864616,0.5054565800499916,0.4613603276478767,0.49208067090892793,0.4625637482248306,0.5906891436065674,0.5782982561980248,0.7710830691371917,0.45763413004074094,0.5120046797798157,0.6067247828354835,0.5316861299176217,0.5900135481178284,0.4195124627299308,0.4596676806233405,0.5992692046318054,0.580254572713375,0.5618167377813339
83332.Rv0702,0.8119836853068352,0.7934098695302962,0.7997924409737587,0.7803894754145622,0.7873875744878768,,0.7777470785847663,0.8073923062272073,0.7806159000490188,0.7646704804965972,0.8199523572800635,0.7575047725661277,0.7975491137026787,0.8181857473618507,0.7888730200579643,0.7959681472896576,0.6962071980803489,0.7823512601460457,0.7797907207591056,0.7767934822797775,0.792619315770626,0.8081057789622307,0.8126555774729728,0.8117702592533111,0.8825111378077506,0.8350554108412742,0.8187233675486564,0.8536598040986061,0.7761046135187148,0.7315828129778862,0.8234237498145104,0.8075765274949074,0.7129300252193451,0.7416646313489913,0.801552621636963,0.8289581918663024,0.8258089149651526,0.6424711934597969,0.7136936918491363,0.8030316314661979,0.7774879193774222,0.7809287484381675,0.5524717915093421,0.49781099564981457,0.5111000878022194,0.48267646166810985,0.5209834396935462,0.6622804292581559,0.7138811508257866,0.8067566159068108,0.54001594983778,0.8666296961635589,0.5229388016558646,0.5155851045500756,0.5367446519853591,0.4981274869181632,0.46310021541509616,0.6411372345845222,0.538788769365406,0.4937900693795204,0.6528034586273193,0.7465095732851981,0.7397983459321021,0.45193601823072427,0.7615195572444915,0.5689860968742371,0.7652172838850021,0.557665246449089,0.6779461432707786,0.7415927951889991,0.739126909514141,0.5764804609877586,0.5937196094663619,0.3520247469277381,0.7665853489927291,0.5183875474430083,0.7049129242448807,0.6731421679356575,0.7524402124065399,0.5417609693775176,0.6332348838454246,0.6691094897155762,0.7438391858715057,0.5324940166619301,0.34277486730360984,0.4858434725825309,0.47949747469043724,0.6092467972702981,0.5557576245811463,0.7426398675749778,0.40040296151347154,0.4910205172082901,0.5488653918675422,0.41443098039240833,0.49338700725288387,0.393867810577774,0.3018943313350677,0.5732165316274642,0.4575917204358101,0.5124617288028239
83332.Rv0701,0.8264017005288123,0.8292272821015357,0.8033357038948059,0.7938088615323066,0.8124900696795463,0.8100684041192054,,0.8217399918426513,0.8169870829835891,0.7848774606304169,0.8357402175457953,0.7811635493133544,0.8275005783870696,0.8539668815660476,0.7955730342165948,0.8100651824881553,0.7381287631368636,0.8092996734081268,0.7956293847457886,0.8033064290735245,0.7942212162996292,0.8259930156194686,0.8296714329666137,0.8294803342169761,0.8768975276746749,0.8233260783653259,0.840437588286972,0.8526206524785995,0.7904596248430252,0.7769527429103851,0.8296209514087676,0.8249448854537964,0.7351890237682341,0.7791361693722724,0.820311737227249,0.8278190856411933,0.8480040261342048,0.7107346787225722,0.7108460351001739,0.8383872787370681,0.8520207427557945,0.8200836457489014,0.5537498890682221,0.5994717471752167,0.5797180925514221,0.5267633409817695,0.5945665111958504,0.7009762291017533,0.7521847380996703,0.8150110250258445,0.6591300652543067,0.8647865719902038,0.5918399317460059,0.5469561879602431,0.6265128248689651,0.6125695239857674,0.59428367351799,0.7524449608105659,0.6443984927319526,0.5811629595773696,0.6934744134889603,0.7999666191568374,0.7770404413104057,0.4353864051297187,0.7754087272047996,0.6194558635820389,0.8050643761233329,0.66276008679142,0.6990105869696617,0.7968622910123825,0.7633987766572952,0.6226898338443756,0.6577028608973503,0.39603572028846745,0.7874973200499533,0.5553289160167694,0.7392019800034523,0.7323101592193603,0.7957463579670906,0.6297139526432991,0.6733607356271744,0.7278877897060394,0.7597372098412513,0.5955612688923836,0.4791193148283004,0.5455223305082321,0.5403472198965072,0.6759325992299079,0.6161869824706077,0.7508704861667632,0.4686954134706497,0.5308620906525612,0.6211380517242432,0.5281124874124526,0.5903687645792007,0.4431542820663452,0.3897735828533172,0.6349437749545097,0.5600841337017058,0.553391252258873
83332.Rv3459c,0.7556330739260673,0.7648897895285606,0.7479670391722678,0.7016237069073678,0.6755210978597641,0.722704400903225,0.7030862508828163,,0.7078484744577408,0.7017466051283836,0.7926575691375732,0.7247133895331382,0.7539653540740012,0.7972319015868187,0.744869439882183,0.7446134322704314,0.6785413219762801,0.7447729870499611,0.7649302700230598,0.7124916937830925,0.732589586688137,0.787862386876297,0.7603332040642737,0.7525248712677002,0.7941188664818764,0.8219102620471954,0.775748993957901,0.7217510147046089,0.7432434191415785,0.7186289590327263,0.8081214313693047,0.7603038872217177,0.675310109040165,0.7368041750058174,0.7356257508748053,0.7818277655933379,0.7994601507415771,0.6646599744588851,0.6909399412993431,0.7214761535476685,0.6722300466286658,0.7309959083218575,0.5317993051463127,0.4765483420138359,0.5104738092119216,0.48864929663496015,0.5104204842144966,0.6443767537259101,0.6882279787672042,0.7462065643601417,0.5753871063385964,0.738684102294445,0.49353282162246703,0.48251196134986873,0.5086501904312133,0.48554553422460556,0.47727708247861855,0.6215673950227737,0.5398000533591271,0.5074131606292726,0.5890727597449302,0.7062919008769035,0.7186623239247322,0.46028790400848385,0.7333770869018554,0.5298522914105415,0.7198779929121017,0.5732624546681404,0.6845035761385917,0.7532501325233459,0.7338637492897033,0.5325904892251014,0.6329469810508728,0.4100407377257347,0.7525340599197388,0.49478007660121914,0.6305155764203072,0.6230875501656533,0.6847972693123817,0.5374515963803291,0.5652402250273705,0.6277484324334145,0.7493118750718116,0.5400429308756828,0.4157222316747665,0.5058673585018157,0.46538763493947977,0.5627033996463775,0.5288773407768249,0.7078434599189758,0.4205512618284225,0.4840260234079361,0.5340270015386581,0.46412532102851867,0.5013181783739089,0.39133045995998383,0.3724466335100174,0.5457426415649413,0.49528250007324215,0.50411158669281
83332.Rv0716,0.7957055833236695,0.8326527453828811,0.8080695350952148,0.7447440904201507,0.7972995418317794,0.7698965424214362,0.8031602930876732,0.8296284031814574,,0.8158084067249298,0.8511464125817297,0.7924296737585067,0.7937524409676551,0.8356690054924965,0.7987723109840392,0.7903342193526268,0.7724166358139037,0.807855254609108,0.8142448295983313,0.8219018577922821,0.8312427700219153,0.8462970088691711,0.8374047998093603,0.8187604583270073,0.8634138414855956,0.8588121671936989,0.8435691407669066,0.8604481189621925,0.8187222329742431,0.7771549632906913,0.8219811799515724,0.8172972560182571,0.7381374475336074,0.7998103280296325,0.8249792588563919,0.8557474145332336,0.8469438778840064,0.7200592026551247,0.7155766726837158,0.8183768881327629,0.7768845143675804,0.8311811108050345,0.5564992225205421,0.5767558017654418,0.5844076053142547,0.5565485975181579,0.5612414299616814,0.6794780397359849,0.7443089956574439,0.823226165781498,0.6657800385607718,0.8850559257025719,0.5828829398879052,0.5178918203961372,0.5995953597579002,0.5578857920315743,0.5711399720260619,0.8219502102722168,0.6199544989269257,0.5659683276517868,0.6891389859927177,0.7771822771191597,0.7432724138210295,0.46205906623144144,0.7649587399542808,0.6294849001260757,0.7936838482404708,0.6590956508658409,0.722310851173973,0.7985123414361953,0.7442839014352798,0.6096586952540398,0.6498767985025405,0.411443219292736,0.7801896707398414,0.5532762597613334,0.7230346601071358,0.7510008221533775,0.8081202267594337,0.6056544309368134,0.6912431323165893,0.7356497170083999,0.7610541501003265,0.5540280709412575,0.42953406096153257,0.5428696104519845,0.5792884810473442,0.6627625383058547,0.6536306258888245,0.7771753296017646,0.4393896521062851,0.5347112964666367,0.6513140350432396,0.5582947407314299,0.5637386183798789,0.4342838854276657,0.42048421298751826,0.6482933486927032,0.5532482271561622,0.5814006770338059
83332.Rv0718,0.7911417842072487,0.818904997504425,0.8065799014047622,0.7294551207331657,0.7449177083195686,0.7523620668429374,0.7571483826152802,0.8096573444901466,0.7680194510511398,,0.823521239171505,0.7880273624002456,0.7555884753466605,0.8096345129309654,0.8111825561930657,0.761704729959011,0.7186705600945472,0.8111299315502166,0.7803700120431899,0.8050211987460136,0.7865471274682044,0.817270110274887,0.8050462714398384,0.8034490913006782,0.8358352976830482,0.8281281381085395,0.8142947508725166,0.8420273446676253,0.792670385626316,0.7510721742775917,0.8158354544186592,0.809660440057373,0.6985841249903678,0.7632621299582482,0.7819103514049529,0.8019372003417969,0.8231169524888993,0.6554685178957937,0.6909587248090744,0.7601750780080795,0.8666651686051369,0.817362725164032,0.5305634239258766,0.5151666696696281,0.5799030702020646,0.5258948657719612,0.5444413116916655,0.6568747673704147,0.7104386388432502,0.8188389120466232,0.6311301730962754,0.8589513976834297,0.5645137116901396,0.5166431927224158,0.5797950194980621,0.5844470492839813,0.5610438179144859,0.7973277941353798,0.6184886772920609,0.5321658847385407,0.6662355696700096,0.7772724967956542,0.7387429180717467,0.45086271759500496,0.7260814556762696,0.6113200278723717,0.7601679764126776,0.6386464655558586,0.7164150746680259,0.7921003260509492,0.7386204400634765,0.6103291166755677,0.632946663302803,0.41002899460601805,0.7464306358032226,0.541187477302742,0.6939615241037369,0.7341092515828131,0.7896299492767334,0.6219547686600686,0.6535362461061478,0.6709239198442458,0.7195152232487678,0.5348284452942847,0.46139431740856174,0.5444928297742843,0.5535537682585716,0.6569359363390922,0.5782967994605065,0.7556853063703536,0.4661771412734985,0.5058400026520729,0.6113391755664825,0.5410980796296119,0.5646140455221176,0.41329210092754365,0.390879545740509,0.6269093936441421,0.5416812218284607,0.5759284814613342
