,VCU48907.1,AVV29661.1,AVV29586.1,VCU48209.1,QDX10313.1,CCE36211.1,CCE35557.1
VCU48907.1,6021.0,-70.0,-248.5,58.0,-305.0,41.0,-40.0
AVV29661.1,-70.0,3966.0,-128.0,31.0,-142.0,-104.0,18.0
AVV29586.1,-248.5,-128.0,1368.0,-149.0,-9.5,-341.5,-69.5
VCU48209.1,58.0,31.0,-149.0,4225.0,-153.5,-22.5,37.0
QDX10313.1,-305.0,-142.0,-9.5,-153.5,1476.0,-371.5,-80.0
CCE36211.1,41.0,-104.0,-341.5,-22.5,-371.5,6754.0,-87.0
CCE35557.1,-40.0,18.0,-69.5,37.0,-80.0,-87.0,3196.0
